id,fullName,points(2020-2021),average(2018-2021)
8479425,Filip Hronek,23,9.666666666666666
8479442,Troy Stecher,2,10.0
8480184,Gustav Lindstrom,11,5.666666666666667
8480862,Jared McIsaac,0,2.0
8480882,Seth Barton,11,9.0
8481542,Moritz Seider,5,13.0
8482131,Donovan Sebrango,3,3.0
8482251,Wyatt Newpower,10,15.333333333333334
8474600,Roman Josi,33,35.0
8474697,Mark Borowiecki,1,8.0
8475218,Mattias Ekholm,23,19.333333333333332
8476807,Matt Tennyson,2,2.3333333333333335
8476988,Matt Benning,4,4.333333333333333
8477433,Ben Harpur,7,6.333333333333333
8478851,Alexandre Carrier,1,13.666666666666666
8479026,Philippe Myers,11,10.333333333333334
8479329,Frederic Allard,13,10.333333333333334
8479371,Dante Fabbro,12,8.666666666666666
8479602,Jeremy Davies,9,12.666666666666666
8480063,David Farrance,16,19.666666666666668
8481743,Marc Del Gaizo,14,11.333333333333334
8482091,Luke Prokop,6,10.0
8482878,Tyson Galloway,9,5.0
8474019,Tommy Cross,8,21.0
8474145,Robert Bortuzzo,5,7.0
8474618,Marco Scandella,9,4.333333333333333
8475753,Justin Faulk,25,25.333333333333332
8476792,Torey Krug,32,44.666666666666664
8476892,Colton Parayko,12,22.666666666666668
8477463,Steven Santini,2,5.0
8478013,Jake Walman,2,9.666666666666666
8478859,Niko Mikkola,3,6.0
8480157,Calle Rosen,13,9.666666666666666
8481006,Tyler Tucker,7,21.0
8481059,Scott Perunovich,40,35.0
8482173,Jeremie Poirier,37,31.0
8482735,Cameron Whynot,23,11.0
8482876,Cole Jordan,10,6.0
8474628,Michael Stone,2,4.333333333333333
8475690,Christopher Tanev,12,14.666666666666666
8475790,Erik Gudbranson,1,4.333333333333333
8475857,Kevin Gravel,8,3.6666666666666665
8476407,Andy Welinski,0,7.0
8477507,Nikita Zadorov,3,8.0
8478396,Noah Hanifin,15,13.666666666666666
8478397,Rasmus Andersson,21,20.666666666666668
8478430,Oliver Kylington,1,3.6666666666666665
8479976,Juuso Valimaki,19,14.666666666666666
8480084,Nick DeSimone,5,10.0
8482066,Colton Poolman,6,13.333333333333334
8482067,Connor Mackey,16,6.666666666666667
8482165,Yan Kuznetsov,0,2.0
8482244,Johannes Kinnvall,22,28.0
8482470,Ilya Solovyov,0,0.3333333333333333
8478038,Devon Toews,31,26.0
8473446,Erik Johnson,1,14.0
8476850,Ryan Murray,14,17.333333333333332
8477073,Kurtis MacDermid,4,9.0
8477981,Roland McKeown,9,19.333333333333332
8478502,Dennis Gilbert,8,5.0
8479387,Keaton Middleton,6,6.333333333333333
8479398,Samuel Girard,32,31.0
8479439,Jacob MacDonald,9,31.333333333333332
8479594,Nate Clurman,7,5.333333333333333
8480069,Cale Makar,44,47.666666666666664
8480913,Jordan Gross,3,10.333333333333334
8481524,Bowen Byram,5,3.0
8482111,Justin Barron,2,12.333333333333334
8476472,Oscar Klefbom,34,27.666666666666668
8470281,Duncan Keith,15,27.333333333333332
8471729,Kris Russell,9,11.333333333333334
8475197,Tyson Barrie,48,48.666666666666664
8476879,Cody Ceci,17,17.0
8476886,Slater Koekkoek,1,4.0
8477498,Darnell Nurse,36,24.333333333333332
8478021,William Lagesson,3,4.666666666666667
8479338,Markus Niemelainen,6,5.333333333333333
8479519,Filip Berglund,8,13.0
8480041,Dmitri Samorukov,1,6.333333333333333
8480274,Philip Kemp,1,7.333333333333333
8480803,Evan Bouchard,17,19.333333333333332
8480891,Michael Kesselring,8,5.333333333333333
8481598,Philip Broberg,3,7.0
